2026-09-18T22:08:31Z INFO Logging to /tmp/logs/update_2026-09-18T22-08-31Z.log.
2026-09-18T22:08:31Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-18T22:08:32Z INFO Processing 500 items (48508 already recorded).
2026-09-18T22:08:33Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-18T22:11:04Z INFO [71/500] 0537e742-a2f6-4fee-982d-075f193e8b26: 22 internal nodes; 1.2 s; peak memory 141 MiB.
2026-09-18T22:11:05Z INFO [72/500] 05385e38-01e3-49b1-b675-ff1cfd1dd57c: 90 internal nodes; 1.2 s; peak memory 141 MiB.
2026-09-18T22:11:06Z INFO [73/500] 05389890-108a-4f52-bb3d-10945a9c22ca: 17 internal nodes; 0.9 s; peak memory 141 MiB.
2026-09-18T22:11:16Z INFO [74/500] 0538d570-0c23-4981-b1b8-138227fb5ace: 283 internal nodes; 10.6 s; peak memory 147 MiB.
2026-09-18T22:11:18Z INFO [75/500] 053a5533-674f-4d37-b15b-f9ff34a57499: 31 internal nodes; 1.3 s; peak memory 147 MiB.
2026-09-18T22:11:19Z INFO [76/500] 053a66ea-cc4d-4713-8166-9f6f2b00d8c9: 55 internal nodes; 1.4 s; peak memory 147 MiB.
2026-09-18T22:11:27Z INFO [77/500] 053a6ce2-4775-4330-ab48-52367620034e: 212 internal nodes; 8.2 s; peak memory 147 MiB.
2026-09-18T22:11:28Z INFO [78/500] 053acf63-2894-4df8-9301-1a477dc0a043: 19 internal nodes; 1.1 s; peak memory 147 MiB.
2026-09-18T22:11:29Z INFO [79/500] 053af9c8-eb6f-4781-862b-0f2dc4d84706: 17 internal nodes; 1.0 s; peak memory 147 MiB.
2026-09-18T22:11:36Z INFO [80/500] 053c5f57-b6f5-4222-bccd-b3b6930d8ed0: 52 internal nodes; 6.4 s; peak memory 147 MiB.
2026-09-18T22:11:45Z INFO [81/500] 053c6b29-e8a9-4f8f-9e89-26ccedef9b80: 205 internal nodes; 8.9 s; peak memory 147 MiB.
2026-09-18T22:11:46Z INFO [82/500] 053c7815-9c7a-4a00-bee8-59e2e6b9c769: 27 internal nodes; 1.2 s; peak memory 147 MiB.
2026-09-18T22:11:47Z INFO [83/500] 053d9e74-834f-442d-af7f-86a92f4ca65f: 61 internal nodes; 1.4 s; peak memory 147 MiB.
