2026-09-17T22:34:24Z INFO Logging to /tmp/logs/update_2026-09-17T22-34-24Z.log.
2026-09-17T22:34:24Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-17T22:34:24Z INFO Processing 500 items (47510 already recorded).
2026-09-17T22:34:25Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-17T22:36:02Z INFO [78/500] 030991d9-8c63-414e-bbf5-ae5fd40de85c: 11 internal nodes; 0.4 s; peak memory 135 MiB.
2026-09-17T22:36:03Z INFO [79/500] 030996e3-65f0-4b8d-a0dd-a3ae30bc1d44: 17 internal nodes; 0.5 s; peak memory 135 MiB.
2026-09-17T22:36:05Z INFO [80/500] 0309ca0f-466b-4336-8b5e-13f131053423: 89 internal nodes; 1.8 s; peak memory 135 MiB.
2026-09-17T22:36:06Z INFO [81/500] 030a2ab5-e98f-4ae9-a688-35b928e5563f: 44 internal nodes; 1.4 s; peak memory 135 MiB.
2026-09-17T22:36:07Z INFO [82/500] 030a413c-2394-4c6f-bf28-9d6e37213ddd: 17 internal nodes; 0.6 s; peak memory 135 MiB.
2026-09-17T22:36:08Z INFO [83/500] 030a9c81-7fb9-4fdf-bc15-25f6e1c00bee: 31 internal nodes; 0.7 s; peak memory 135 MiB.
2026-09-17T22:36:08Z INFO [84/500] 030ab108-2215-48ba-ab1b-8fb2fd13582d: 17 internal nodes; 0.5 s; peak memory 135 MiB.
2026-09-17T22:36:09Z INFO [85/500] 030b171c-0ad4-43bc-9d1b-a86d9a736dae: 27 internal nodes; 0.7 s; peak memory 135 MiB.
2026-09-17T22:36:10Z INFO [86/500] 030b6128-762d-42fe-bbdf-823409da111c: 37 internal nodes; 0.9 s; peak memory 135 MiB.
2026-09-17T22:36:15Z INFO [87/500] 030df42c-8762-4716-847f-2176b84273da: 202 internal nodes; 5.1 s; peak memory 135 MiB.
2026-09-17T22:36:16Z INFO [88/500] 030f1e81-0dfa-42fb-aead-10ab63e7caa6: 56 internal nodes; 1.7 s; peak memory 135 MiB.
2026-09-17T22:36:17Z INFO [89/500] 030f5cc2-f68b-4f7a-a53b-0c0148530f5b: 21 internal nodes; 0.4 s; peak memory 135 MiB.
2026-09-17T22:36:17Z INFO [90/500] 030f638d-65f5-4e5b-b049-fa1c2ce2e9bb: 17 internal nodes; 0.7 s; peak memory 135 MiB.
2026-09-17T22:36:18Z INFO [91/500] 03105d89-b6ec-4c20-ae70-aa8474fde83c: 17 internal nodes; 0.6 s; peak memory 135 MiB.
2026-09-17T22:36:49Z INFO [92/500] 03106995-52a2-4916-93b9-6d3fe9eeadf2: 106 internal nodes; 30.8 s; peak memory 210 MiB.
2026-09-17T22:36:49Z INFO [93/500] 031175ff-2ab8-4a81-8389-7442884331f1: 25 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:36:50Z INFO [94/500] 0311c80a-3a4c-4f68-b3de-08b6807d25f6: 31 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:36:51Z INFO [95/500] 0313c322-7217-4fb7-aac3-bfa9a60f8fcd: 67 internal nodes; 1.0 s; peak memory 210 MiB.
2026-09-17T22:36:52Z INFO [96/500] 0317ac6e-9e0e-4dd9-8a94-f1cf7d34e060: 31 internal nodes; 0.8 s; peak memory 210 MiB.
2026-09-17T22:36:54Z INFO [97/500] 0317ccfb-c051-4f03-b402-477aeb29ecae: 127 internal nodes; 2.5 s; peak memory 210 MiB.
2026-09-17T22:36:55Z INFO [98/500] 03181bed-7518-4e5f-bb6e-6b73ef389516: 24 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:36:56Z INFO [99/500] 031adc62-7ff4-4ec4-9c7b-4c1618e5aee3: 44 internal nodes; 1.4 s; peak memory 210 MiB.
2026-09-17T22:36:57Z INFO [100/500] 031b36e2-7d46-49f1-a8d6-1416ff5884d8: 18 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:36:57Z INFO [100/500] 031b36e2-7d46-49f1-a8d6-1416ff5884d8: checkpointed 47609 records.
2026-09-17T22:36:58Z INFO [101/500] 031b73b8-00b5-4b30-a1d2-978889d65db8: 17 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:36:58Z INFO [102/500] 031bb851-76c6-45cf-b4d6-7b7e32f9fd8b: 17 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:01Z INFO [103/500] 031cecdf-83a6-45ee-8003-2f49efe237ad: 177 internal nodes; 2.8 s; peak memory 210 MiB.
2026-09-17T22:37:02Z INFO [104/500] 031d4337-0b6a-46e0-8e1a-63e355b3504f: 38 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:03Z INFO [105/500] 031d49b2-c8ed-43ff-8ffc-680bd208613b: 44 internal nodes; 1.6 s; peak memory 210 MiB.
2026-09-17T22:37:05Z INFO [106/500] 031d5cf4-c435-4c82-8afc-7258310af0d0: 44 internal nodes; 1.3 s; peak memory 210 MiB.
2026-09-17T22:37:07Z INFO [107/500] 031d98bb-0735-4125-8e39-2f8bb4bfa92b: 68 internal nodes; 2.8 s; peak memory 210 MiB.
2026-09-17T22:37:08Z INFO [108/500] 031de63e-9459-4ffb-a9c2-54d5ed465dd8: 17 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:08Z INFO [109/500] 031ead3d-5b25-470a-9e4a-ce71a59cce1e: 13 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:09Z INFO [110/500] 031eaed9-8c5a-4641-8dbc-727617a5e071: 59 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:10Z INFO [111/500] 031ec13b-5ba0-41ad-8616-4e096672c2cf: 27 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:37:13Z INFO [112/500] 031f08bd-8b9d-420c-a50b-1de3cbd5d026: 123 internal nodes; 3.2 s; peak memory 210 MiB.
2026-09-17T22:37:14Z INFO [113/500] 031f10e6-c448-4607-bf4d-105dac9357dd: 27 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:14Z INFO [114/500] 031f7146-a42c-4d6a-a31a-1e9f2c395779: 58 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:37:15Z INFO [115/500] 03206baf-a88c-4c20-b780-cb8a6e42624c: 31 internal nodes; 1.0 s; peak memory 210 MiB.
2026-09-17T22:37:16Z INFO [116/500] 03208b4c-3453-42ce-a4bc-66ba61308329: 18 internal nodes; 0.4 s; peak memory 210 MiB.
2026-09-17T22:37:16Z INFO [117/500] 0320bea0-3094-4c04-a8db-461b04e6eaf2: 17 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:17Z INFO [118/500] 032137d6-d4b1-467c-a85c-973ed7513df2: 27 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:37:17Z INFO [119/500] 03218b80-9caf-45af-bd7f-5956e243f5b8: 28 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:19Z INFO [120/500] 0322e3f9-64b5-4e78-865e-74f060889edf: 45 internal nodes; 1.9 s; peak memory 210 MiB.
2026-09-17T22:37:26Z INFO [121/500] 03238fef-42c2-4294-a6a1-5267a33c07d5: 280 internal nodes; 6.6 s; peak memory 210 MiB.
