2026-09-22T12:59:50Z INFO Logging to /tmp/logs/update_2026-09-22T12-59-50Z.log.
2026-09-22T12:59:50Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-22T12:59:50Z INFO Processing 500 items (51997 already recorded).
2026-09-22T12:59:52Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:52Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-22T12:59:54Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-22T12:59:54Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-22T13:02:38Z INFO [70/500] 0c83f4da-96dc-4e5e-b0b5-9c0789fa727a: 29 internal nodes; 1.7 s; peak memory 151 MiB.
2026-09-22T13:02:39Z INFO [71/500] 0c83f718-2af5-4943-9ed6-4fa50b7ace14: 27 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:02:41Z INFO [72/500] 0c8427fa-1b57-4f71-8fb4-aa7cc45ceb01: 44 internal nodes; 2.9 s; peak memory 152 MiB.
2026-09-22T13:02:43Z INFO [73/500] 0c844f18-c189-4991-8439-e55942bd52be: 65 internal nodes; 1.8 s; peak memory 152 MiB.
2026-09-22T13:02:44Z INFO [74/500] 0c8459e6-4109-4d57-b5c3-64fba140fab7: 14 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:02:46Z INFO [75/500] 0c84cf1e-9c0f-444f-9bc1-347150dda800: 27 internal nodes; 1.3 s; peak memory 152 MiB.
2026-09-22T13:02:48Z INFO [76/500] 0c854ba5-09a2-4c5a-bc58-413036720859: 44 internal nodes; 2.7 s; peak memory 152 MiB.
2026-09-22T13:02:50Z INFO [77/500] 0c86349f-887a-424a-8ba5-7829815a85aa: 30 internal nodes; 2.1 s; peak memory 152 MiB.
2026-09-22T13:03:01Z INFO [78/500] 0c86755b-87f6-4518-9601-f4e329d59218: 224 internal nodes; 10.4 s; peak memory 152 MiB.
2026-09-22T13:03:03Z INFO [79/500] 0c86e473-9c4b-4fbf-9acd-58fc1348657a: 44 internal nodes; 2.2 s; peak memory 152 MiB.
2026-09-22T13:03:04Z INFO [80/500] 0c875f1f-5618-4f2d-afe0-a269189dc0bc: 54 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:03:06Z INFO [81/500] 0c882275-f543-4aea-93e9-9ab41b8200e0: 31 internal nodes; 1.3 s; peak memory 152 MiB.
2026-09-22T13:03:07Z INFO [82/500] 0c88fcf2-7a15-494f-9081-75dfab4547bb: 31 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:03:08Z INFO [83/500] 0c894799-e5a1-4add-8ab1-0a5bd3f8dc9a: 17 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:03:09Z INFO [84/500] 0c899809-a85b-432b-97b5-651525cc83c5: 17 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:03:11Z INFO [85/500] 0c8b097d-0e80-4d09-b1f6-cdd3f7f98684: 46 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:03:12Z INFO [86/500] 0c8b3d92-3091-4d3b-af1b-71d784e97e81: 27 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:03:14Z INFO [87/500] 0c8b486f-53ad-4ece-8bd1-074dcae05272: 21 internal nodes; 1.8 s; peak memory 152 MiB.
2026-09-22T13:03:16Z INFO [88/500] 0c8c083f-82c1-4b7c-8d4b-02bc2e7e679b: 31 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:03:18Z INFO [89/500] 0c8c78fe-9070-4675-bbae-9b08ad8756f4: 32 internal nodes; 2.3 s; peak memory 152 MiB.
2026-09-22T13:03:19Z INFO [90/500] 0c8e2699-c4b3-46c8-a389-c9e561a4eea1: 13 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:03:28Z INFO [91/500] 0c8e8251-4bf6-49c5-b51c-26afed14fffe: 183 internal nodes; 9.6 s; peak memory 152 MiB.
2026-09-22T13:03:30Z INFO [92/500] 0c8fb1d1-6217-4860-b7f2-49d94a6b09da: 13 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:03:31Z INFO [93/500] 0c90815c-0753-48be-b290-065652c7a860: 29 internal nodes; 1.2 s; peak memory 152 MiB.
2026-09-22T13:03:33Z INFO [94/500] 0c90c21e-d656-46b9-96df-ab2838e55e1c: 66 internal nodes; 1.8 s; peak memory 152 MiB.
2026-09-22T13:03:34Z INFO [95/500] 0c90c912-80b6-4272-ab77-db9197656c73: 27 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:03:35Z INFO [96/500] 0c90dc14-a18e-433b-9845-63a910891862: 22 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:03:37Z INFO [97/500] 0c915dcd-c880-4b64-b8f6-6c7300948dfa: 30 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:03:46Z INFO [98/500] 0c915e9d-d655-4a73-9473-3d297e169ac1: 321 internal nodes; 9.0 s; peak memory 152 MiB.
2026-09-22T13:03:49Z INFO [99/500] 0c918999-95d0-4466-94ba-2cfde8d6bc1b: 44 internal nodes; 2.8 s; peak memory 152 MiB.
2026-09-22T13:03:51Z INFO [100/500] 0c922276-7be6-41b7-9ebb-60681c97732b: 44 internal nodes; 2.7 s; peak memory 152 MiB.
2026-09-22T13:03:52Z INFO [100/500] 0c922276-7be6-41b7-9ebb-60681c97732b: checkpointed 52095 records.
2026-09-22T13:03:58Z INFO [101/500] 0c92a3c7-b974-4012-ad31-9f136539c177: 119 internal nodes; 6.4 s; peak memory 152 MiB.
2026-09-22T13:04:12Z INFO [102/500] 0c934369-5ad3-47e9-b15f-e865eceb9da1: 373 internal nodes; 13.8 s; peak memory 152 MiB.
2026-09-22T13:04:19Z INFO [103/500] 0c93681a-bcac-4fbe-becd-1b61a83b21cc: 151 internal nodes; 6.7 s; peak memory 152 MiB.
2026-09-22T13:04:20Z INFO [104/500] 0c93a211-ec70-42ce-96da-644f683e409f: 115 internal nodes; 1.3 s; peak memory 152 MiB.
2026-09-22T13:04:21Z INFO [105/500] 0c93bfab-18df-43e7-868c-fb942541d398: 17 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:04:22Z INFO [106/500] 0c93ddab-09c4-45b9-8921-a3658e1ea5f3: 13 internal nodes; 1.0 s; peak memory 152 MiB.
2026-09-22T13:04:23Z INFO [107/500] 0c94bc20-9d80-43cf-b394-f1925c7deaa7: 27 internal nodes; 1.4 s; peak memory 152 MiB.
2026-09-22T13:04:24Z INFO [108/500] 0c94ee17-4b89-4b7c-90c0-7bd88c2c6af5: 17 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:04:25Z INFO [109/500] 0c96447d-5597-4880-ad2f-1d7b31485290: 17 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:04:27Z INFO [110/500] 0c9665b6-4d4f-4741-b058-0553b11ddfb1: 31 internal nodes; 1.7 s; peak memory 152 MiB.
2026-09-22T13:04:28Z INFO [111/500] 0c96bf7d-c763-4601-bc5d-01c4b3ef101a: 22 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:04:29Z INFO [112/500] 0c96ea05-15c3-4387-b5d9-735c04689f40: 27 internal nodes; 1.5 s; peak memory 152 MiB.
2026-09-22T13:04:30Z INFO [113/500] 0c975e47-fdf6-4ae6-8011-59f1445a8cca: 25 internal nodes; 0.9 s; peak memory 152 MiB.
2026-09-22T13:04:31Z INFO [114/500] 0c97d371-ec3f-4a9c-a433-c2fd88ad6068: 17 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:04:32Z INFO [115/500] 0c992412-8d38-413e-981a-bb7daf8ea8e4: 13 internal nodes; 0.8 s; peak memory 152 MiB.
2026-09-22T13:04:47Z INFO [116/500] 0c99a0b4-003a-4b91-ac0a-bda9d63d6e92: 145 internal nodes; 15.6 s; peak memory 152 MiB.
2026-09-22T13:04:48Z INFO [117/500] 0c99acec-19ba-4394-83b8-0b913038d95d: 31 internal nodes; 1.1 s; peak memory 152 MiB.
2026-09-22T13:04:51Z INFO [118/500] 0c9a0559-758d-4705-b2d9-831caf3e22c2: 44 internal nodes; 2.5 s; peak memory 152 MiB.
