2026-09-25T13:09:20Z INFO Logging to /tmp/logs/update_2026-09-25T13-09-20Z.log.
2026-09-25T13:09:20Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-25T13:09:20Z INFO Processing 500 items (54974 already recorded).
2026-09-25T13:15:17Z INFO [95/500] 129ee20a-9d75-4606-bfa2-96a9f4c9c6ff: 177 internal nodes; 6.9 s; peak memory 336 MiB.
2026-09-25T13:15:18Z INFO [96/500] 129ee71d-ad3d-435c-8bf2-69a73844dea2: 27 internal nodes; 1.3 s; peak memory 336 MiB.
2026-09-25T13:15:19Z INFO [97/500] 129f48de-e32f-48ff-8edd-5e2787fe64cf: 26 internal nodes; 0.9 s; peak memory 336 MiB.
2026-09-25T13:15:20Z INFO [98/500] 129f98b1-8839-4be5-84e3-281e7b8635fa: 17 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:15:22Z INFO [99/500] 129fff6a-eb37-495d-b0c6-b5ec86005b58: 27 internal nodes; 1.5 s; peak memory 336 MiB.
2026-09-25T13:15:24Z INFO [100/500] 12a0186b-397e-405f-9b80-62d99da2a44b: 39 internal nodes; 2.0 s; peak memory 336 MiB.
2026-09-25T13:15:24Z INFO [100/500] 12a0186b-397e-405f-9b80-62d99da2a44b: checkpointed 55069 records.
2026-09-25T13:15:25Z INFO [101/500] 12a132be-1857-4ce2-8cc0-e62b9f6e2b81: 20 internal nodes; 1.0 s; peak memory 336 MiB.
2026-09-25T13:15:27Z INFO [102/500] 12a16410-dec2-4ff2-8797-3237eb565a87: 27 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:15:29Z INFO [103/500] 12a1dadf-6c40-47e7-b944-64f33fa6537d: 54 internal nodes; 2.3 s; peak memory 336 MiB.
2026-09-25T13:15:37Z INFO [104/500] 12a36cde-665f-4088-9acd-23efeeba5f8f: 177 internal nodes; 8.1 s; peak memory 336 MiB.
2026-09-25T13:15:38Z INFO [105/500] 12a4e53a-a249-4319-9c32-dca8010104a3: 90 internal nodes; 1.3 s; peak memory 336 MiB.
2026-09-25T13:15:40Z INFO [106/500] 12a59932-8949-4623-9420-22721d97941e: 27 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:15:41Z INFO [107/500] 12a64174-df72-4036-858e-088c4c0e1e0e: 27 internal nodes; 1.3 s; peak memory 336 MiB.
2026-09-25T13:15:43Z INFO [108/500] 12a691e5-e1d4-40c7-bc6b-3c29e774953c: 31 internal nodes; 1.7 s; peak memory 336 MiB.
2026-09-25T13:15:44Z INFO [109/500] 12a8b32c-126b-41a9-b342-1a6378f70fc3: 13 internal nodes; 0.9 s; peak memory 336 MiB.
2026-09-25T13:15:45Z INFO [110/500] 12aa0956-d97b-4891-8db6-77efca1f318a: 118 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:15:54Z INFO [111/500] 12abc2fe-e3df-443c-9e08-a4e3039fabdb: 150 internal nodes; 8.5 s; peak memory 336 MiB.
2026-09-25T13:15:55Z INFO [112/500] 12ac7108-6393-4184-aeb4-d7765865d001: 15 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:15:56Z INFO [113/500] 12acf638-e12c-4aef-97b7-4ff3d550157e: 55 internal nodes; 1.6 s; peak memory 336 MiB.
2026-09-25T13:16:07Z INFO [114/500] 12ae8857-7225-4a8e-b8f7-e86e02e2739c: 114 internal nodes; 10.5 s; peak memory 336 MiB.
2026-09-25T13:16:08Z INFO [115/500] 12aed46e-2823-49ae-80e2-7e4adf81d936: 13 internal nodes; 0.8 s; peak memory 336 MiB.
2026-09-25T13:16:09Z INFO [116/500] 12af8d74-7815-4d42-a3e5-b40e6eb83a59: 31 internal nodes; 1.5 s; peak memory 336 MiB.
2026-09-25T13:16:12Z INFO [117/500] 12afca9c-4bac-4ec4-a569-0615691b39b9: 42 internal nodes; 3.3 s; peak memory 336 MiB.
2026-09-25T13:16:14Z INFO [118/500] 12afe951-e765-429d-82f9-66c297b51aa7: 29 internal nodes; 1.7 s; peak memory 336 MiB.
2026-09-25T13:16:15Z INFO [119/500] 12b00315-e14e-4857-8887-e9c0510ac721: 22 internal nodes; 1.2 s; peak memory 336 MiB.
2026-09-25T13:16:17Z INFO [120/500] 12b00d97-6abd-42a6-a7e9-d7f7fd56aaaa: 27 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:16:18Z INFO [121/500] 12b04bdb-c339-438b-9c2d-94afa2c7f8da: 29 internal nodes; 1.6 s; peak memory 336 MiB.
2026-09-25T13:16:20Z INFO [122/500] 12b19540-2df1-4a10-a131-90db4f3a03d4: 27 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:16:22Z INFO [123/500] 12b1d616-4d7c-4709-9b89-f9fa6f1f266a: 122 internal nodes; 1.8 s; peak memory 336 MiB.
2026-09-25T13:16:31Z INFO [124/500] 12b1dc16-4a01-4404-a412-21dfaaebc717: 111 internal nodes; 9.2 s; peak memory 336 MiB.
2026-09-25T13:16:32Z INFO [125/500] 12b258f5-df3a-4550-a93a-574ddb125bb6: 19 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:16:33Z INFO [126/500] 12b2de3b-865c-49f9-a1fd-9c89bfc090fa: 17 internal nodes; 0.9 s; peak memory 336 MiB.
2026-09-25T13:16:36Z INFO [127/500] 12b36384-ec7c-4dee-9ad6-d31c191f2731: 46 internal nodes; 3.6 s; peak memory 336 MiB.
2026-09-25T13:16:38Z INFO [128/500] 12b43d4b-166a-476a-91ac-24631be55d54: 27 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:16:39Z INFO [129/500] 12b45946-5a82-40d1-9cdb-af789b7ff6fc: 90 internal nodes; 1.5 s; peak memory 336 MiB.
2026-09-25T13:16:41Z INFO [130/500] 12b47ea2-3ff2-4068-a5ca-cb48868de0a6: 31 internal nodes; 1.5 s; peak memory 336 MiB.
2026-09-25T13:16:42Z INFO [131/500] 12b48acc-3eb6-4aa3-8a5c-b9f6c1dcc20d: 17 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:16:43Z INFO [132/500] 12b4aa27-b1ec-4a1e-bb26-9c21a335cbda: 18 internal nodes; 1.6 s; peak memory 336 MiB.
2026-09-25T13:16:50Z INFO [133/500] 12b4daf8-657c-4466-9a27-e20edffae922: 505 internal nodes; 6.2 s; peak memory 336 MiB.
2026-09-25T13:16:51Z INFO [134/500] 12b5bd8a-9a3a-4eba-8d6b-65c79476e861: 19 internal nodes; 1.0 s; peak memory 336 MiB.
2026-09-25T13:16:52Z INFO [135/500] 12b60cf6-afd0-4ea2-82b2-9befae694db5: 27 internal nodes; 1.4 s; peak memory 336 MiB.
2026-09-25T13:16:53Z INFO [136/500] 12b7b6a8-bf6f-4214-a963-36ee0a0ffbff: 11 internal nodes; 0.7 s; peak memory 336 MiB.
2026-09-25T13:16:54Z INFO [137/500] 12b7c6be-ba8f-46b0-99ca-0278da077aa7: 17 internal nodes; 1.0 s; peak memory 336 MiB.
2026-09-25T13:16:55Z INFO [138/500] 12b8092f-8a71-4bf3-bd81-1bbc726f4d4b: 17 internal nodes; 1.0 s; peak memory 336 MiB.
2026-09-25T13:17:02Z INFO [139/500] 12bb0a4f-ff89-41f8-92e9-f8e6f4e94f5d: 61 internal nodes; 7.6 s; peak memory 336 MiB.
2026-09-25T13:17:04Z INFO [140/500] 12bba5f5-88d4-495b-ba8a-57377aeb3248: 15 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:17:05Z INFO [141/500] 12bcd538-749b-4072-9939-36a662dfa9b1: 29 internal nodes; 1.3 s; peak memory 336 MiB.
2026-09-25T13:17:29Z INFO [142/500] 12bd530e-25f3-4b90-9a05-b5265c9bcfea: 2816 internal nodes; 23.7 s; peak memory 336 MiB.
2026-09-25T13:17:30Z INFO [143/500] 12bd64f3-79a9-49a4-b3b4-35d3e28e6186: 17 internal nodes; 1.1 s; peak memory 336 MiB.
2026-09-25T13:18:02Z INFO [144/500] 12bdb5b8-70a0-4261-87d1-e087ac489c87: 3123 internal nodes; 32.1 s; peak memory 336 MiB.
2026-09-25T13:18:04Z INFO [145/500] 12bdc79f-153c-48ea-b652-12c6bade2cd0: 58 internal nodes; 1.9 s; peak memory 336 MiB.
2026-09-25T13:18:06Z INFO [146/500] 12bdee17-a9ac-4d4a-afca-14ee65427348: 27 internal nodes; 2.0 s; peak memory 336 MiB.
2026-09-25T13:18:07Z INFO [147/500] 12bdf99a-29e1-4f9a-8b7e-c76adfef42a5: 17 internal nodes; 1.0 s; peak memory 336 MiB.
