2026-09-21T22:57:22Z INFO Logging to /tmp/logs/update_2026-09-21T22-57-22Z.log.
2026-09-21T22:57:22Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T22:57:22Z INFO Processing 500 items (51499 already recorded).
2026-09-21T22:57:24Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:24Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T22:57:25Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:25Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T22:59:59Z INFO [55/500] 0b7265ff-abf4-4800-986f-e6b310ca261a: 26 internal nodes; 0.8 s; peak memory 141 MiB.
2026-09-21T23:00:00Z INFO [56/500] 0b72fecf-9cac-4775-8171-09f6520e983d: 27 internal nodes; 1.3 s; peak memory 141 MiB.
2026-09-21T23:00:01Z INFO [57/500] 0b738676-5a2e-4035-8b5d-387f951983cd: 17 internal nodes; 1.0 s; peak memory 141 MiB.
2026-09-21T23:00:02Z INFO [58/500] 0b7392bd-7771-448a-a051-e3bdab2e88c4: 23 internal nodes; 1.0 s; peak memory 141 MiB.
2026-09-21T23:00:06Z INFO [59/500] 0b73a2ac-8ee3-4f8e-8a43-aee5e4464819: 115 internal nodes; 4.1 s; peak memory 141 MiB.
2026-09-21T23:00:16Z INFO [60/500] 0b73cc22-f34e-418e-b968-e7b9b8e62138: 70 internal nodes; 10.5 s; peak memory 141 MiB.
2026-09-21T23:00:17Z INFO [61/500] 0b742ffd-9b52-4869-9ca3-9c7aed48b5bd: 17 internal nodes; 1.0 s; peak memory 141 MiB.
2026-09-21T23:00:27Z INFO [62/500] 0b743d42-89d1-4030-b9c7-efe487b4eba4: 57 internal nodes; 9.4 s; peak memory 141 MiB.
2026-09-21T23:00:28Z INFO [63/500] 0b78033f-e5f5-42be-a299-70f31a836155: 29 internal nodes; 1.5 s; peak memory 141 MiB.
2026-09-21T23:00:29Z INFO [64/500] 0b785289-bf44-4e7a-94ce-8d4840ab1fc5: 11 internal nodes; 0.7 s; peak memory 141 MiB.
2026-09-21T23:00:36Z INFO [65/500] 0b792779-58af-4eb3-b0f8-618084df71ce: 135 internal nodes; 6.6 s; peak memory 141 MiB.
2026-09-21T23:00:37Z INFO [66/500] 0b79434c-b4a9-482f-a19e-41e630a895c4: 27 internal nodes; 1.3 s; peak memory 141 MiB.
2026-09-21T23:00:38Z INFO [67/500] 0b7a8868-108c-4b8b-a67d-28108c81cc4e: 11 internal nodes; 0.8 s; peak memory 141 MiB.
2026-09-21T23:00:39Z INFO [68/500] 0b7a8aa3-d8cf-4329-b190-297c3c5b1046: 27 internal nodes; 1.3 s; peak memory 141 MiB.
2026-09-21T23:00:40Z INFO [69/500] 0b7b0560-61c1-4b64-8caf-907d1bfbd09d: 27 internal nodes; 1.2 s; peak memory 141 MiB.
2026-09-21T23:00:42Z INFO [70/500] 0b7c36e8-c6b4-46dd-90bc-663d5ab167b3: 72 internal nodes; 1.8 s; peak memory 141 MiB.
2026-09-21T23:00:43Z INFO [71/500] 0b7c9bcb-8d9f-41fe-85e3-b02f262fb1fd: 17 internal nodes; 1.0 s; peak memory 141 MiB.
2026-09-21T23:00:44Z INFO [72/500] 0b7d7fd2-e57b-4b68-a52f-8a2e3ef61fa3: 22 internal nodes; 0.8 s; peak memory 141 MiB.
2026-09-21T23:00:45Z INFO [73/500] 0b7d90ed-39c1-4db2-83f5-23307077d420: 27 internal nodes; 1.4 s; peak memory 141 MiB.
2026-09-21T23:00:46Z INFO [74/500] 0b7df8df-d9fe-4dc4-addf-c4f850c700d6: 27 internal nodes; 0.8 s; peak memory 141 MiB.
2026-09-21T23:00:47Z INFO [75/500] 0b7e078a-daea-42fc-842e-87cdbff06dc4: 27 internal nodes; 1.4 s; peak memory 141 MiB.
2026-09-21T23:00:48Z INFO [76/500] 0b7e1394-028a-4847-871e-6a42b7ae317d: 17 internal nodes; 1.0 s; peak memory 141 MiB.
2026-09-21T23:00:51Z INFO [77/500] 0b7ebed6-64cf-4977-b03b-ed45367e0100: 40 internal nodes; 2.3 s; peak memory 141 MiB.
2026-09-21T23:00:52Z INFO [78/500] 0b7efbf7-1983-4951-bf7d-f91ce756ee9c: 55 internal nodes; 1.5 s; peak memory 141 MiB.
