2026-09-21T14:44:32Z INFO Logging to /tmp/logs/update_2026-09-21T14-44-32Z.log.
2026-09-21T14:44:32Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T14:44:33Z INFO Processing 500 items (51001 already recorded).
2026-09-21T14:44:34Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:44:34Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T14:44:35Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:44:35Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T14:48:22Z INFO [115/500] 0a7fa69f-cbb0-4984-8de9-d243c1afa2f9: 17 internal nodes; 0.6 s; peak memory 363 MiB.
2026-09-21T14:48:29Z INFO [116/500] 0a80bda8-220b-422e-80c1-4cfdaf8e99df: 150 internal nodes; 6.5 s; peak memory 363 MiB.
2026-09-21T14:48:29Z INFO [117/500] 0a817c77-1136-46bb-a8a7-77aa6ee6df27: 22 internal nodes; 0.4 s; peak memory 363 MiB.
2026-09-21T14:48:30Z INFO [118/500] 0a81ecdb-c7a4-4db1-8d29-6a34e3ba4c6b: 30 internal nodes; 1.1 s; peak memory 363 MiB.
2026-09-21T14:48:31Z INFO [119/500] 0a82102a-794e-4950-987f-cbce9f9be474: 17 internal nodes; 0.7 s; peak memory 363 MiB.
2026-09-21T14:48:32Z INFO [120/500] 0a8341eb-038b-4ffa-9c64-3d4cf0047732: 27 internal nodes; 1.3 s; peak memory 363 MiB.
2026-09-21T14:48:33Z INFO [121/500] 0a8350da-eb46-4fc8-8390-3c52eed3ca98: 19 internal nodes; 0.8 s; peak memory 363 MiB.
2026-09-21T14:48:34Z INFO [122/500] 0a8386d6-1ff1-47bc-b6cd-cfac8fc776f4: 27 internal nodes; 0.8 s; peak memory 363 MiB.
2026-09-21T14:48:38Z INFO [123/500] 0a84461c-181f-4f46-b1a4-a4642fef65ff: 175 internal nodes; 4.2 s; peak memory 363 MiB.
2026-09-21T14:48:39Z INFO [124/500] 0a84bf03-c7c5-42f6-b5ef-8de387365d2c: 27 internal nodes; 1.0 s; peak memory 363 MiB.
2026-09-21T14:48:40Z INFO [125/500] 0a84e4ef-6db1-430d-8487-1db639d7766b: 63 internal nodes; 1.2 s; peak memory 363 MiB.
2026-09-21T14:48:48Z INFO [126/500] 0a85baad-b893-44de-9b73-e1c7f97968aa: 297 internal nodes; 8.0 s; peak memory 363 MiB.
2026-09-21T14:48:49Z INFO [127/500] 0a86ba9e-9586-49a8-8b9a-16c96a1e76f2: 27 internal nodes; 0.9 s; peak memory 363 MiB.
2026-09-21T14:48:49Z INFO [128/500] 0a877886-28af-402a-9e02-d13dd3b04484: 11 internal nodes; 0.4 s; peak memory 363 MiB.
2026-09-21T14:48:55Z INFO [129/500] 0a87c2d2-d2d6-4f59-aec8-446a3097507e: 207 internal nodes; 5.6 s; peak memory 363 MiB.
2026-09-21T14:48:57Z INFO [130/500] 0a885379-ef0c-418e-940c-d424b99fc169: 46 internal nodes; 2.3 s; peak memory 363 MiB.
2026-09-21T14:48:58Z INFO [131/500] 0a88c6d1-bd94-4b2d-a3ce-7367ee2e0b4f: 26 internal nodes; 0.5 s; peak memory 363 MiB.
2026-09-21T14:48:58Z INFO [132/500] 0a89b310-78a2-4bb8-b9a0-f06f64ce2d6e: 11 internal nodes; 0.4 s; peak memory 363 MiB.
2026-09-21T14:48:59Z INFO [133/500] 0a8a7a4c-f121-4508-88b6-6b9518d2b045: 25 internal nodes; 0.5 s; peak memory 363 MiB.
2026-09-21T14:49:00Z INFO [134/500] 0a8bd1ca-b118-4971-ab9f-41085918b2de: 53 internal nodes; 1.0 s; peak memory 363 MiB.
2026-09-21T14:49:00Z INFO [135/500] 0a8bfeab-0cd5-4599-a43b-fa30f7cea325: 17 internal nodes; 0.6 s; peak memory 363 MiB.
2026-09-21T14:49:04Z INFO [136/500] 0a8c3be7-f5b3-4c8f-9504-82417230ddd5: 82 internal nodes; 4.2 s; peak memory 363 MiB.
2026-09-21T14:49:05Z INFO [137/500] 0a8c8b4c-ae83-42c6-a941-869332c709b1: 27 internal nodes; 0.8 s; peak memory 363 MiB.
2026-09-21T14:49:06Z INFO [138/500] 0a8ed172-bbb9-403b-a01f-f138715d5eb3: 31 internal nodes; 0.9 s; peak memory 363 MiB.
2026-09-21T14:49:07Z INFO [139/500] 0a8f38e1-c7ba-4175-b0a5-f2a30e88eccf: 17 internal nodes; 0.7 s; peak memory 363 MiB.
2026-09-21T14:49:16Z INFO [140/500] 0a90b642-c4a9-443d-bbd7-b2ec00e5cbb4: 665 internal nodes; 9.5 s; peak memory 363 MiB.
2026-09-21T14:49:17Z INFO [141/500] 0a915eb0-89a2-4b7c-87be-9b9cf235f5fa: 27 internal nodes; 0.8 s; peak memory 363 MiB.
2026-09-21T14:49:18Z INFO [142/500] 0a916026-1d7b-49c2-b464-01d6a2996d4f: 19 internal nodes; 0.8 s; peak memory 363 MiB.
2026-09-21T14:49:19Z INFO [143/500] 0a91b7d7-102d-4a81-84bf-01e8708b7130: 31 internal nodes; 1.2 s; peak memory 363 MiB.
2026-09-21T14:49:21Z INFO [144/500] 0a9232f8-5e29-4c3d-bac4-65dad5d9c440: 42 internal nodes; 1.6 s; peak memory 363 MiB.
2026-09-21T14:49:21Z INFO [145/500] 0a92a29c-b439-4407-a011-f353b25953c2: 11 internal nodes; 0.7 s; peak memory 363 MiB.
2026-09-21T14:49:27Z INFO [146/500] 0a930ee0-0474-4381-9af5-b8a2a4b7ab3e: 205 internal nodes; 5.8 s; peak memory 363 MiB.
2026-09-21T14:49:28Z INFO [147/500] 0a93578e-76d7-4f92-b2c3-35e6cdcf5fae: 27 internal nodes; 0.9 s; peak memory 363 MiB.
2026-09-21T14:49:29Z INFO [148/500] 0a93e7e5-b88a-43fc-a8ad-19f01be900ae: 27 internal nodes; 0.7 s; peak memory 363 MiB.
2026-09-21T14:49:29Z INFO [149/500] 0a94716b-48f3-4c83-a089-f58e1df732c0: 17 internal nodes; 0.6 s; peak memory 363 MiB.
2026-09-21T14:49:30Z INFO [150/500] 0a94fb7c-ee36-47a5-9044-4dd2427abf76: 27 internal nodes; 0.9 s; peak memory 363 MiB.
