2026-09-19T21:59:52Z INFO Logging to /tmp/logs/update_2026-09-19T21-59-52Z.log.
2026-09-19T21:59:52Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T21:59:52Z INFO Processing 500 items (49506 already recorded).
2026-09-19T21:59:53Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T22:02:39Z INFO [118/500] 075e07b1-3365-4d4a-9a93-2045fbf84ee3: 11 internal nodes; 0.4 s; peak memory 341 MiB.
2026-09-19T22:02:39Z INFO [119/500] 075e4178-2721-4a32-8f25-62d99cfd010c: 11 internal nodes; 0.3 s; peak memory 341 MiB.
2026-09-19T22:02:40Z INFO [120/500] 075e5942-01c2-45a8-8373-c6634787298d: 21 internal nodes; 1.0 s; peak memory 341 MiB.
2026-09-19T22:02:41Z INFO [121/500] 075e7da4-7592-4c20-82fd-934570ce17f0: 19 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:02:41Z INFO [122/500] 076003fd-1997-40fa-b912-588a4dce50f1: 15 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:02:42Z INFO [123/500] 076094fd-f3be-4273-96ee-26bffc5405b1: 17 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:02:42Z INFO [124/500] 076142cf-0c4c-40c8-802c-47f477a6693c: 17 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:02:43Z INFO [125/500] 0761e12a-b5f6-420d-8331-7110c42ff932: 31 internal nodes; 0.8 s; peak memory 341 MiB.
2026-09-19T22:02:44Z INFO [126/500] 076268e0-bc73-46f0-9795-53adae880490: 116 internal nodes; 0.6 s; peak memory 341 MiB.
2026-09-19T22:02:44Z INFO [127/500] 076274bd-6691-49d2-a0b6-e91a84891d89: 120 internal nodes; 0.7 s; peak memory 341 MiB.
2026-09-19T22:02:45Z INFO [128/500] 076290cd-18a8-4c8e-934f-46b57e6e282e: 27 internal nodes; 0.6 s; peak memory 341 MiB.
2026-09-19T22:02:46Z INFO [129/500] 07636724-679e-42e9-a1b6-fd17e6c44f05: 27 internal nodes; 0.6 s; peak memory 341 MiB.
2026-09-19T22:02:46Z INFO [130/500] 076403b2-f9b0-478b-b723-38957c5de4f2: 17 internal nodes; 0.4 s; peak memory 341 MiB.
2026-09-19T22:02:46Z INFO [131/500] 07642813-88ef-4ad7-8982-6a90c0785821: 6 internal nodes; 0.3 s; peak memory 341 MiB.
2026-09-19T22:02:47Z INFO [132/500] 07649b54-5f16-48d2-aa7a-873005498334: 26 internal nodes; 0.9 s; peak memory 341 MiB.
2026-09-19T22:02:53Z INFO [133/500] 07657b56-8630-49dd-b51a-e65374dbcccd: 200 internal nodes; 5.5 s; peak memory 341 MiB.
2026-09-19T22:02:53Z INFO [134/500] 0766708e-7888-42f6-b3bd-018863016286: 18 internal nodes; 0.4 s; peak memory 341 MiB.
2026-09-19T22:02:54Z INFO [135/500] 0766e4d4-a485-49b5-9673-2c43b461cfcf: 17 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:02:55Z INFO [136/500] 0766e53f-422b-4492-8a5c-4b337c149505: 46 internal nodes; 1.5 s; peak memory 341 MiB.
2026-09-19T22:02:56Z INFO [137/500] 07674dff-0f0f-4919-af2c-30f283d2cc19: 26 internal nodes; 0.4 s; peak memory 341 MiB.
2026-09-19T22:02:56Z INFO [138/500] 07674ea0-3894-4d67-bea0-53606002cb8d: 44 internal nodes; 0.8 s; peak memory 341 MiB.
2026-09-19T22:02:57Z INFO [139/500] 07681e55-667e-42f7-a262-6894ca5a23de: 17 internal nodes; 0.6 s; peak memory 341 MiB.
2026-09-19T22:03:03Z INFO [140/500] 076832fa-ec96-46a2-b70b-beeae98a7418: 277 internal nodes; 6.3 s; peak memory 341 MiB.
2026-09-19T22:03:04Z INFO [141/500] 0768f31b-30e0-41be-a68d-94c875ab5954: 25 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:03:07Z INFO [142/500] 076a3cfa-c6ec-4a73-ae17-90d9093f5e1d: 177 internal nodes; 3.2 s; peak memory 341 MiB.
2026-09-19T22:03:07Z INFO [143/500] 076b4248-8d01-408a-a38b-fe578c475296: 11 internal nodes; 0.3 s; peak memory 341 MiB.
2026-09-19T22:03:09Z INFO [144/500] 076b7011-052b-47f7-8ee2-2d3b5dec7c37: 55 internal nodes; 1.6 s; peak memory 341 MiB.
2026-09-19T22:03:10Z INFO [145/500] 076c84d5-888f-4361-881f-a0931ce474b5: 27 internal nodes; 0.7 s; peak memory 341 MiB.
2026-09-19T22:03:10Z INFO [146/500] 07700852-d819-4549-95c6-c2ef839c7ba0: 27 internal nodes; 0.5 s; peak memory 341 MiB.
2026-09-19T22:03:15Z INFO [147/500] 0770840c-aa43-4f96-b5fd-0315824f815e: 33 internal nodes; 4.6 s; peak memory 341 MiB.
2026-09-19T22:03:19Z INFO [148/500] 0771a0ae-5d35-4e00-b1c4-1dcaa14d75fd: 165 internal nodes; 4.0 s; peak memory 341 MiB.
2026-09-19T22:03:19Z INFO [149/500] 07729c7a-0d6f-4eff-a354-a69e35b34f47: 22 internal nodes; 0.4 s; peak memory 341 MiB.
2026-09-19T22:03:24Z INFO [150/500] 0772aa59-7a30-4a3f-b2e5-dab755d6b941: 310 internal nodes; 4.8 s; peak memory 341 MiB.
2026-09-19T22:03:24Z INFO [150/500] 0772aa59-7a30-4a3f-b2e5-dab755d6b941: checkpointed 49655 records.
