2026-09-19T12:11:45Z INFO Logging to /tmp/logs/update_2026-09-19T12-11-45Z.log.
2026-09-19T12:11:45Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T12:11:45Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:11:46Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:12:48Z INFO [58/500] 06397cef-43c7-453c-a09a-8abffcc45bdf: 17 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:49Z INFO [59/500] 0639875c-f3cd-4a0d-b430-8456112044e0: 44 internal nodes; 1.1 s; peak memory 144 MiB.
2026-09-19T12:12:50Z INFO [60/500] 0639c4c1-b239-4abf-ba72-67897b411478: 13 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:12:50Z INFO [61/500] 063a8c80-e733-4305-9c05-db0467ffcc99: 27 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:12:51Z INFO [62/500] 063ba6dd-fe93-4b62-8e78-c36caa3f218b: 44 internal nodes; 1.0 s; peak memory 144 MiB.
2026-09-19T12:12:52Z INFO [63/500] 063c4615-8a8d-4fc8-a63e-240e2783e295: 13 internal nodes; 0.7 s; peak memory 144 MiB.
2026-09-19T12:12:52Z INFO [64/500] 063c539f-e7ac-4a23-8509-831139a2e7aa: 11 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:53Z INFO [65/500] 063cc827-28ea-4b8f-b60a-0925d7a3c9c0: 27 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:53Z INFO [66/500] 063cf5f9-3060-4f93-956a-3758b97797f7: 17 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:54Z INFO [67/500] 063daf21-7649-4d6f-b61c-d421bbce6b90: 17 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:54Z INFO [68/500] 063ddba6-d815-4ebf-a07a-c334e322c0df: 17 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:55Z INFO [69/500] 063e1010-251a-476e-a3b9-b14dcb4ccd92: 27 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:55Z INFO [70/500] 063e7b14-8011-4c1a-bdbe-163e714b6c78: 17 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:12:56Z INFO [71/500] 063e8b6d-9ed4-47c3-94fe-7ef7fcf89f94: 65 internal nodes; 0.8 s; peak memory 144 MiB.
2026-09-19T12:12:57Z INFO [72/500] 063eafa6-d6e0-4a75-b654-2ef6924c4ab2: 17 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:58Z INFO [73/500] 063ef5b0-df31-494a-88d2-e4665f208cd2: 56 internal nodes; 1.4 s; peak memory 144 MiB.
2026-09-19T12:12:58Z INFO [74/500] 063f3c9e-b441-4710-abb7-4f78f160720a: 16 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:59Z INFO [75/500] 063fac7e-cfb6-43de-9a93-477f040a81f0: 15 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:12:59Z INFO [76/500] 06411428-d49b-494e-a33f-5b8ead0f02da: 27 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:13:00Z INFO [77/500] 06413f8e-7534-471c-9008-054680bd8a03: 119 internal nodes; 0.7 s; peak memory 144 MiB.
2026-09-19T12:13:01Z INFO [78/500] 0642dc4e-05bf-4e95-b6ca-010a00c50995: 27 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:13:01Z INFO [79/500] 0642eb8f-e6c5-4939-8627-7c1084227514: 17 internal nodes; 0.4 s; peak memory 144 MiB.
2026-09-19T12:13:06Z INFO [80/500] 0642f605-fec4-4c29-affe-a5f1f451b213: 216 internal nodes; 4.6 s; peak memory 144 MiB.
2026-09-19T12:13:06Z INFO [81/500] 06430d9f-df19-4688-8739-081a2acd8a9a: 17 internal nodes; 0.5 s; peak memory 144 MiB.
2026-09-19T12:13:07Z INFO [82/500] 064321e5-c412-4725-9e4e-713c4d5b1acd: 59 internal nodes; 0.8 s; peak memory 144 MiB.
2026-09-19T12:13:07Z INFO [83/500] 0643c4de-a3fd-469a-ae47-1d2d9cd4edef: 27 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:13:08Z INFO [84/500] 0645ce8b-6b59-469a-82d4-d69346661ccf: 27 internal nodes; 0.6 s; peak memory 144 MiB.
2026-09-19T12:13:09Z INFO [85/500] 06465edb-98c8-4045-9ec1-def68b90023e: 44 internal nodes; 1.0 s; peak memory 144 MiB.
2026-09-19T12:13:10Z INFO [86/500] 064860df-570c-4227-9b54-f865d0c5a4b0: 58 internal nodes; 0.9 s; peak memory 144 MiB.
2026-09-19T12:13:14Z INFO [87/500] 06492739-d971-48d7-a928-bb514297b654: 458 internal nodes; 4.5 s; peak memory 144 MiB.
2026-09-19T12:13:16Z INFO [88/500] 064958e4-3118-40fe-b883-4687b2025dbc: 59 internal nodes; 1.2 s; peak memory 144 MiB.
2026-09-19T12:13:17Z INFO [89/500] 06499c2f-bc79-4aff-b925-d4161f90e396: 39 internal nodes; 0.8 s; peak memory 144 MiB.
2026-09-19T12:13:19Z INFO [90/500] 064b68fd-4161-4a1e-9b43-6623b3ed1fe7: 135 internal nodes; 2.3 s; peak memory 144 MiB.
2026-09-19T12:13:23Z INFO [91/500] 064b93f8-7f9c-45e1-a314-636d43448b09: 235 internal nodes; 3.9 s; peak memory 146 MiB.
